Class	Source	Name	Type	Cost	Description	Fight	Tech	Talk	MORAL	WANTED	Merc	Lawman	Hill Folk	Mudder	Pilot	Grifter	Mechanic	Soldier	Medic	Companion	Fake ID	Fancy Duds	Hacking Rig	Transport	Firearm	Sniper Rifle	Explosives	Space Bazaar	Persephone	Silverhold	Regina	Osiris	Meridian	Beaumonde	YCTtS	Count	Meta	Special Ability Type
Promo	Promo Pack	Jayne	Crew	300	Public Relations: May Carry 3 Gear. * Big Damn Heroes: When you Proceed while Misbehaving, take $100.	2				X	X																			1						1		
Promo	Promo Pack	Kaylee	Crew	300	Natural Know How: May re-roll [Tech] Tests. * Big Damn Heroes: When you Proceed while Misbehaving, take $100.		3		X								X														1					1		
Promo	Promo Pack	Wash	Crew	200	Hard Burn: +1 to Full Burn Range. * Big Damn Heroes: When you Proceed while Misbehaving, take $100.		1	1	X						X													1								1		
Promo	Promo Pack	Zoe	Crew	300	Dust Devil: May re-roll Fighting Tests. * Big Damn Heroes: When you Proceed while Misbehaving, take $100.	2			X	X								X												1						1		
Promo	Loot Crate	Loot Crate: Silverhold	Gear	300	Remove from Play to Use: Draw a card from the Silverhold Supply Deck. If it is a Gear Card, keep it. If not, discard it and draw another card. Repeat until a Gear Card is drawn.																								1									
Promo	Promo Pack	Mal's Pretty Floral Bonnet	Gear	0	Crew carrying Bonnet ignores Wanted Crew Rolls. Does not count towards Gear Limit.																									1						1		
Promo	Promo Pack	Wash's Lucky Dinosaurs	Gear	0	When Flying, re-roll any Test result of 1. Does not count towards Gear Limit.																							1								1		
Promo	Promo Pack	Malcolm	Leader	500	Brown Coat: When you complete a Crime Job, take $500. * Big Damn Heroes: When you Proceed while Misbehaving, take $100.	2		1	X						X			X																	1	1		
Standard	BA	Accountant	Crew	300	Cooking the Books: Whenever you receive a Goal token, take $500.		1	1								X													1							1		Resources (Goal)
Standard	PBH	Agent McGinnis	Crew	0	Fed: Whenever you lose a SHOWDOWN - Warrant Issued to Rival. Bounty Bonus +$500. Will not Work Illegal Jobs.		1	1				X																				1				1		Unique
